Subject Code,Course Title,Description
Nursing,Fundamentals of Nursing Skills Lab,"Apply The Nursing Process During Care And In The Interdisciplinary Care Plan.
Demonstrate Professional And Therapeutic Communication With Patients, Peers, And The Healthcare Team.
Apply Safety And Infection Control Principals When Practicing Nursing.
Demonstrate Competence In Performing Fundamental Nursing Skills Including But Not Limited To Sterile Technique, Head-To-Toe Patient Assessments, Restraint Use, Wound Care, NGT Management, Specimen Collection, And Medication Administration.
Demonstrate Knowledge Of Pain Management.
Apply Legal Principles, Communication Skills, And Computer Skills To Nursing Documentation Including PhysicianÕs Orders, The Medication Administration Record (MAR), Shift Assessment Forms, Fall And Skin Risk Screens, And Interdisciplinary Notes.
Assess The Learning Needs Of Patients And Apply Effective Teaching/Learning Principles During Patient Education.
Support Professional Nursing Practice Decisions With Concepts And Theories From The Biological, Physical, And Social Sciences.
Plan Preventative And Population-Focused Interventions With Attention To Effectiveness, Efficiency, Cost, And Equity.
Support Therapeutic Nursing Interventions For Patients And Families In A Variety Of Healthcare And Community Settings Using Evidence-Based Practice.
Apply Nursing Process And Critical Thinking When Providing Holistic, Patient-Centered Nursing Care To Diverse Populations.
Design Healthcare Education For Individuals, Families, And Communities.
Comply With The Professional Standards Of Moral, Ethical, And Legal Conduct In Practice.
Develop An Effective Communication Style To Interact With Patients, Families, And The Interdisciplinary Health Team.
Model Leadership When Providing Safe, Quality Nursing Care, When Coordinating The Healthcare Team, And When Tasked With Oversight And Accountability For Care Delivery.
Use Patient Care Technology And Information Systems When Providing Nursing Care In A Variety Of Settings.
Demonstrate Evidence-Based Nursing Practice As It Applies To Environmental Safety And Infection Control.
Differentiate Between Standard Precautions And Isolation Precautions.
Discuss Isolation Precautions And Identify When They Are Needed.
Adhere To Infection Control Standards During Hygiene.
Adhere To Infection Control Standards During Bathing.
Discuss Assessment As It Relates To The Nursing Process.
Demonstrate Patient Assessment Techniques As They Apply To Vital Signs And Pain Assessments.
Discuss Pain Management Strategies.
Apply Legal Principles, Communication Skills, And Computer Skills To Nursing Documentation Of Vital Signs And Pain Management.
Discuss Elements Of An Oxygen Order And Indications For Different Modes Of Delivery.
Demonstrate Oxygen Administration.
Demonstrate Placement Of An Oral Airway.
Discuss Indications For Oro/Nasopharyngeal Suctioning, And Tracheostomy Suctioning.
Discuss The Impact Of Respiratory Alterations On Comfort, Communication Abilities, And Psychosocial Well-Being And Strategies To Support The Patient.
Discuss The Role Of A Respiratory Therapist.
Demonstrate Evidence-Based Nursing Practice As It Applies To Proper Body Mechanics While Moving Patients.
Use Correct Technique To Position Patients (Padding Bony Prominences When Needed).
Maintain Safety When Moving And Position Patients.
Demonstrate A Bed Bath
Demonstrate Care Of Assistive Devices Such As Hearing Aids, Dentures, And Eyeglasses.
Discuss Respect For Patient Privacy/Modesty During, Bed Making, Bed Bath, And Hygiene.
Maintain Safety When Moving And Positioning Patients.
Discuss Seizure Precautions
Discuss Patient Controlled Analgesia (PCA) Pump Role-Play Therapeutic Communication For A Patient In Pain.
Discuss Actual & Potential Problem Recognition Through A History & Physical Assessment As It Relates To Nursing Process - Diagnosis, Planning.
Demonstrate ISBAR Reporting Of Abnormal Assessment Findings.
Apply Legal Principles, Communication Skills, And Computer Skills To Nursing Documentation Of A PatientÕs History And Physical Assessment, Shift Assessment Form, Interventions, Fall Risk Screen, And Skin Risk Screen, And Restraint Form.
Discuss Factors That Put A Patient At Risk For Alterations In Cardiorespiratory Status And Prevention Measures (TCDBLE, Percussion/Vibration, Mobility, Fluids, IS, Sterile Technique With Suctioning). Discuss Factors That Put A Patient At Risk For Developing Skin Breakdown
Demonstrate A Skin Risk Screen.
Differentiate Between A Routine Skin Assessment And A Focused Skin Assessment.
Demonstrate A Focused Skin Assessment.
Identify Abnormalities & Their Significance, Signs Of Infection, Stages Of Pressure Ulcers.
Review Elements Of A Wound Care Order.
Demonstrate Aseptic And Sterile Wound Care Techniques.
Apply Teaching Learning Principles During Patient Education Related To Skin And Wound Care.
Discuss The Role Of A WOCN.
Demonstrate Specimen Collection (Stool, Clean Catch Urine, Wound, And Sputum).
Discuss The Implications Of Errors Related To Specimen Collection And Measures To Prevent Them.
Accurately Label The Specimen At The Bedside.
Apply Teaching Learning Principles During Patient Education For Specimen Collection And Cardiorespiratory Management.
Maintain Safety When Assisting Patients With Use
Assistive Devices Correctly (E.G., Cane, Crutches, Walker, )
Discuss The Roles Of Physical Therapist And Occupational Therapist
Discuss Indications For And Ethics And Legalities Related To Restraint.
Discuss Alternatives To Restraint.
Review Elements Of A Restraint Order.
Maintain Safety During Restraint Use.
Discuss Physical And Psychosocial Considerations During Restraint Use.
Demonstrate Therapeutic Communication During Restraint.
Discuss How The Nursing Process (AAPIE) Is Applied During Restraint Use, Skin Care, And Respiratory Alteration.
Use Information In The Drug Guide To Safely Administer Oral, NGT/GT, Sublingual, Inhalation, Nasal, Otic, Ophthalmic, Transdermal/Topical, Vaginal, Rectal, Intradermal, Subcutaneous, And Intramuscular Medications.
Discuss The Discarding Of Medications, Controlled Substances, And Needle Safety
Apply Legal Principles, Communication Skills, And Computer Skills To Nursing Documentation Of Medication Administration On The MAR And Narcotics Forms.
Discuss How Nursing Process (Assessment, Intervention, And Evaluation) Is Applied During Medication Administration.
Demonstrate Basic Arithmetic Skills Needed For Dosage Calculations (Multiplying, Dividing, Fractions, Decimals, Percent, Fractions, Rations, And Proportions).
Demonstrate An Understanding Of Metric, Apothecary, And Household Systems Of Measurements, And How To Mathematically Convert From One System To Another.
Correctly Perform Medication Calculations.
Practice Safely Administering Medications Using The 11 Rights & Checking Them 3 Times.
Practice Various Routes Of Medication Administration."
Nursing,Fundamentals in Nursing,"Identify Several Major Theories Of Nursing As They Relate To The Practice Of Nursing
Describe The Emotional And Physical Impact Of Illness On The Client
Identify The Nurse's Role For Clients In Health And Illness
Describe Methods To Evaluate Interventions Designed To Maintain Or Promote A Client's Safety
Identify And Practice Guidelines For The Safe Administration Of Medications
Describe Factors To Assess Before Administering Medications
Identify Aseptic Techniques Used In Preparing And Administering Medications
Explain Factors That Impair Or Promote Normal Wound Healing
Identify Ethical And Legal Concepts That Apply To The Delivery Of Basic Nursing Care
Discuss Ethical And Legal Guidelines For Charting And Nursing Care
Relate The Importance Of Nursing Research To The Ongoing Development Of The Nursing Profession
Identify The Importance Of Maintaining An Ongoing Knowledge Base Within The Profession
Identify The Various Career Roles Available In The Profession Of Nursing
Select And Follow Concepts From Knowledge Base On Giving Nursing Care With A ServantÕs Heart And Demonstrate The Art Of Caring
Begin To Establish Rapport With Clients In The Health Care Setting
Identify Personal Values And Beliefs As They Relate To The Delivery Of Nursing Care To Include End Of Life Care"
Nursing,Primary Health Care and Nursing Practices,"Critically Review The Role Of The Nurse In Primary Care Settings Within A Primary Health Care Framework
Demonstrate Knowledge And Skills Required To Support Vulnerable Populations Within A Variety Of Primary Care Settings
Demonstrate Critical Thinking Skills For Safe And Competent Nursing Practice In Primary Care Settings
Investigate Approaches Used To Work With The Consumer And Other Health Professionals To Provide Patient-Centred Care In Primary Care Settings
Critically Review The Role Of The Nurse In Primary Care Settings Within A Primary Health Care Framework
Demonstrate Knowledge And Skills Required To Support Vulnerable Populations Within A Variety Of Primary Care Settings
Demonstrate Critical Thinking Skills For Safe And Competent Nursing Practice In Primary Care Settings
Investigate Approaches Used To Work With The Consumer And Other Health Professionals To Provide Patient-Centred Care In Primary Care Settings"
Nursing,Integration of Nursing Practices,"Analyze Critical Interpersonal Situations And Implement Best Practices To Communicate Effectively.
Identify The Challenges And Opportunities Associated With The Use Of Medical Alarms And Know When Alarms Create Similar Sounds, When Their Default Settings Are Not Changed, And When There Is A Failure To Respond To Their Alarm Signals.
Use Evidence-Based Principles And Competencies To Provide Support And Care To The Dying Patient And Family.
Analyze And Implement Best Practices To Safely Deliver And Manage Patient Care To Promote Skin Integrity To Ensure Quality Patient Outcomes.
Assess Risk For A Fall In Any Patient Due To Physiological Changes Because Of A Medical Condition, Medications, Surgery Procedures, Or Diagnostic Testing That Can Leave The Patient Weakened Or Confused.
Apply Knowledge Of Evidence-Based Infection Prevention Principles So That The Spread Of Infection Is Prevented.
Recognize The Right Of Patients, Residents, Or Clients To Appropriate Assessment And Management Of Pain.
Screen Patients, Residents, Or Clients For Pain During Their Initial Assessment And, When Clinically Required, During Ongoing, Periodic Reassessments.
Educate Patients, Residents, Or Clients Suffering From Pain, And Their Families, About Pain Management.
Develop An Individualized Plan For Professional Development To Enhance OneÕs Experience, Knowledge, Education, And Values To Maximize Abilities That Contribute To The Delivery Of Quality Health Care.
Assess For Issues Related To Diversity And Transcultural Nursing Care And Interact With Cultural Sensitivity With Both Healthcare Team Members And Patients And Families.
Apply The Nursing Process In A Consistent, Systematic, Effective, And Integrated Manner.
Evaluate Patients And Determine Priority Problems.
Perform Within Ethical, Legal, And Regulatory Nursing Practice Guidelines At All Times, Including Patient/Client Confidentiality.
Demonstrate Critical Thinking Skills Needed To Provide Safe And Effective Nursing Care.
Demonstrate Effective Communication Skills When Dealing With Patients, Family, And Members Of The Interdisciplinary Team.
Demonstrate Beginning Leadership Skills, Attitudes, And Behaviors.
Support Professional Nursing Practice Decisions With Concepts And Theories From The Biological, Physical, And Social Sciences.
Plan Preventative And Population-Focused Interventions With Attention To Effectiveness, Efficiency, Cost, And Equity.
Support Therapeutic Nursing Interventions For Patients And Families In A Variety Of Healthcare And Community Settings Using Evidence-Based Practice.
Apply Nursing Process And Critical Thinking When Providing Holistic, Patient-Centered Nursing Care To Diverse Populations.
Design Healthcare Education For Individuals, Families, And Communities.
Comply With The Professional Standards Of Moral, Ethical, And Legal Conduct In Practice.
Develop An Effective Communication Style To Interact With Patients, Families, And The Interdisciplinary Health Team.
Model Leadership When Providing Safe, Quality Nursing Care, When Coordinating The Healthcare Team, And When Tasked With Oversight And Accountability For Care Delivery.
Use Patient Care Technology And Information Systems When Providing Nursing Care In A Variety Of Settings.
Implement Intellectual And Practical Problem Solving Skills Through Information Assessment And Critical Thinking.
Demonstrate Effective Written Communication Skills.
Demonstrate Effective Oral Communication Skills.
Demonstrate Computer Proficiency And Information Literacy."
Nursing,Maternal/Infant/Child Nursing,"Apply Caring Holistic Behaviors Across The Life Span With Understanding Of Cultural Diversity.
Identify Appropriate Nursing Interventions For Individuals In Various States Of Health To Foster Effective Patient Care.
Learn To Evaluate The Effectiveness Of Nursing Interventions To Improve Patient Outcomes.
Demonstrate Effective Communication And Use Of Communication Tools To Transfer Information To Patients, Families And The Health Care Team.
Solve Mathematical Equations To Minimize Risk Of Harm To Patients Receiving Medications Or Treatments.
Demonstrate Caring Holistic Behaviors Across The Life Span With Respect And Understanding Of Cultural Diversity.
Utilize Appropriate Nursing Interventions For Individuals In Various States Of Health To Foster Effective Patient Care.
Communicate Effectively With Patients, Medical Staff And Patient Families.
Apply Mathematical Skills Appropriate To Accurately Calculate Medication Dosages And Patient Assessment Data.
Employ Effective Processes For Resolving Patient Problems And Making Appropriate And Safe Patient Intervention Decisions."
Nursing,Foundations and Introduction to Medical-Surgical Nursing Skills,"Provide Safe, Comprehensive And Proficient Care For The Adult Client In A Simulated Environment.
Use The Nursing Process To Recognize Abnormal Findings When Assessing Client.
Demonstrate Effective Therapeutic Communication With Clients.
Demonstrate The Ability To Communicate With Other Health Care Members By Accurately Documenting Client Information.
Demonstrate Professional Behavior And Apply Theoretically Based Knowledge To Implement Client Care In A Simulated Environment.
Identify Situations Where The Nurse Will Need To Function As Client Advocate.
Provide Client Teaching Through Explanation Of Procedures Prior To Implementation And Describes To The Client Expected Outcomes From The Procedure As Identified In Skills Check-Off Forms.
Identify When To Coordinate And Collaborate With Health Care Members.
Provide Safe, Comprehensive And Proficient Care For The Adult And Older Client In A Simulated Environment.
Accurately Perform Head To Toe Physical Assessment Of Adult And Older Adult Clients In The Simulated Setting Identifying Normal And Abnormal Findings."
Nursing,Clinical Nursing,"Apply The Theory, Concepts, And Skills Involving Specialized Materials, Tools, Equipment, Procedures, Regulations, Laws, And Interactions Within And Among Political, Economic, Environmental, Social, And Legal Systems Associated With The Occupation And The Business/Industry;
Will Demonstrate Legal And Ethical Behavior, Safety Practices, Interpersonal And Teamwork Skills, And Appropriate Written And Verbal Communication Skills Using The Terminology Of The Occupation And The Business/Industry."
Nursing,Public Health Nursing Practicum,"Utilize Theoretical And Empirical Knowledge From Previous Nursing Courses To Gain An Understanding Of Individuals, Families, Groups, And Communities, And Their Health Care Needs.
Incorporate Evidence-Based Nursing Practices That Will Demonstrate Ethnic Identity, Cultural Awareness Strategies, And Sociocultural Practices Of Clients In The Community.
Examine The Healthcare Delivery System In The United States And Its Effects On Community Health Nursing With Appropriate Nursing Actions, Reflective Of Legal, Political, Geographic, Economic, Ethical, And Social Influence.
Utilize Leadership Behaviors In Collaborating With Health Team Members In The Community To Identify The Need For Planned Change, Education Of The Change, And Facilitation Of The Change With The Community Through Cooperative Participation And Education.
Analyze The Roles Of Community Health Nurses And Other Members Of The Community Health Team (E.G., Healthcare Providers, Community Groups).
Discuss Primary And Preventive Healthcare Nursing In The Context Of Primary, Secondary, And Tertiary Settings With The Levels Of Prevention.
Support Professional Nursing Practice Decisions With Concepts And Theories From The Biological, Physical, And Social Sciences.
Plan Preventative And Population-Focused Interventions With Attention To Effectiveness, Efficiency, Cost, And Equity.
Support Therapeutic Nursing Interventions For Patients And Families In A Variety Of Healthcare And Community Settings Using Evidence-Based Practice.
Apply Nursing Process And Critical Thinking When Providing Holistic, Patient-Centered Nursing Care To Diverse Populations.
Design Healthcare Education For Individuals, Families, And Communities.
Comply With The Professional Standards Of Moral, Ethical, And Legal Conduct In Practice.
Develop An Effective Communication Style To Interact With Patients, Families, And The Interdisciplinary Health Team.
Model Leadership When Providing Safe, Quality Nursing Care, When Coordinating The Healthcare Team, And When Tasked With Oversight And Accountability For Care Delivery.
Use Patient Care Technology And Information Systems When Providing Nursing Care In A Variety Of Settings.
Demonstrate Effective Written Communication Skills.
Demonstrate Effective Oral Communication Skills.
Describe Ethical Standards And Legal Guidelines Associated With OneÕs Chosen Career Field."
Nursing,Holistic Care of Older Adults,"Promote Adherence To The Evidence-Based Practice Of Providing Restraint-Free Care (Both Physical And Chemical Restraints).
Implement Strategies And Use Online Guidelines To Prevent And/Or Identify And Manage Geriatric Syndromes.
Recognize The Complex Interaction Of Acute And Chronic Co-Morbid Physical And Mental Conditions And Associated Treatments Common To Older Adults.
Identify Actual Or Potential Mistreatment (Physical, Mental, Or Financial Abuse, And/Or Self-Neglect) In Older Adults And Refer As Appropriate.
Assess Barriers For Older Adults In Receiving, Understanding, And Giving Information.
Facilitate Ethical, Non-Coercive Decision-Making By Older Adults And /Or Families/Caregivers For Maintaining Everyday Living, Receiving Treatment, Initiating Advance Directives, And Implementing End-Of-Life Care.
Recognize And Respect The Variations Of Care, The Increased Complexity, And The Increased Use Of 1 Healthcare Resources In Caring For Older Adults
Incorporate Professional Attitudes, Values, And Expectations About Physical And Mental Aging In The Provision Of Patient-Centered Care For Older Adults And Their Families
Implement And Monitor Strategies To Prevent Risk And Promote Quality And Safety (E.G. Falls, Medication Mismanagement, Pressure Ulcers) In The Nursing Care Of Older Adults With Physical And Cognitive Needs.
Utilize Resources/Programs To Promote Functional, Physical, And Mental Wellness In Older Adults.
Apply The Art And Science Of Nursing Using Current Evidence In The Delivery Of Competent, Culturally Sensitive, Developmentally Appropriate Holistic Care.
Utilize Analytical, Systematic, And Critical Reasoning For Clinical Judgment And Nursing Decisionmaking.
Demonstrate Accountability And Responsibility For Optimal Nursing Care, Legal And Ethical Standards, Lifelong Learning, Professional Development, Promoting The Nursing Profession, And Participating As A Citizen In Society.
Collaborate And Communicate Respectfully And Effectively With Persons/Clients And Interdisciplinary Teams Using Oral, Nonverbal, Written, And Electronic Communication To Promote And Maintain Optimal Health Outcomes To Persons/Clients.
Demonstrate Ethical Behaviors And Conflict Management Skills That Inspire Others And Create Effective Working Relationships To Shape And Implement Change.
Coordinate Human And Material Resources In Providing Comprehensive, Efficient, And Costeffective Care To Persons/Clients.
Articulate The Importance Of Active And Intentional Life-Long Learning That Includes Self-Reflection And Awareness.
Utilize Standards Of Practice To Provide Safe Nursing Care In All Patient Care Settings With An Awareness Of OneÕs Role In Preventing Errors And Promoting Quality Improvement.
Access And Utilize Information And Computer Sciences To Perform Nursing Functions.
Professionalism Formation And Cultivation Of A Sustainable Professional Identity, Including Accountability, Perspective, Collaborative Disposition, And Comportment, That Reflects NursingÕs Characteristics And Values.
Participation In Activities And Self-Reflection That Foster Personal Health, Resilience, And Well-Being; Contribute To Lifelong Learning; And Support The Acquisition Of Nursing Expertise And The Assertion Of Leadership."
Music,Commercial Applied Music I,"Understand Elements Of Keyboard Technique And General Musicianship Requirements At The Piano Melodically, Harmonically, Rhythmically, And Texturally.
Demonstrate Late Intermediate To Early Advanced-Level Keyboard Literature, Techniques And Artistry, Including The Required Regimen For Applied Study.
Play Classical And/Or Contemporary-Styled Keyboard Literature Competently (Having A Mid-To-Late Intermediate Level Of Technical And/Or Interpretive Demands) In A Jury Or Public Arena.
Develop Keyboard Proficiencies Required For Worship Ministry, Possibly Including Hymnbook Reading And Arranging, Sight-Reading, Harmonic/Cadential Progressions, And Basic Improvisation.
Evaluate And Interpret Music At The Keyboard, Reflecting A Progressive, Advancing Awareness Of Stylistic And Artistic Appropriateness Of The Literature Being Performed."
Music,Voice,"Demonstrate The Appropriate Level Of Proficiency On A Given Instrument.
Demonstrate Proper Performance Technique Through The Study Of Appropriate Literature.
Express Ideas Through Effective Written, Oral, And Visual Communication (Communication)
Consider Different Points Of View And Exhibit Habits Of Mind Characterized By The Comprehensive Exploration Of Issues, Ideas, Artifacts, And Events Before Accepting Or Formulating An Opinion Or Conclusion (Critical Thinking).
Apply Scientific And Mathematical Concepts To Analyze And Solve Problems (Empirical And Quantitative Skills).
Connect Choices, Actions, And Consequences To Ethical Decision-Making
Consider Different Points Of View And Demonstrate Intercultural Competency, Civic Knowledge, And The Ability To Engage Effectively In Regional, National, And Global Communities
Consider Different Points Of View And Work Effectively With Others To Support A Shared Purpose Or Goal (Teamwork)."
Music,History of Rock and Roll,"Demonstrate Awareness Of The Scope And Variety Of Works In The Arts And Humanities.
Understand Those Works As Expressions Of Individual And Human Values Within An Historical And Social Context.
Respond Critically To Works In The Arts And Humanities.
Articulate An Informed Personal Reaction To Works In The Arts And Humanities.
Research Basic Historical Knowledge Of Influences In American Popular Music.
Identify Basic Characteristics Of American Popular Music.
Develop Listening Skills Related To Basic Musical Structure.
Define Basic Musical Terminology.
Examine Writings On American Popular Music.
Explore The Climates Behind American Popular Music."
Music,The Ethnomusicology of Popular Music,"Demonstrate Knowledge And Understanding Of The Key Issues In The Study Of Popular Music
Assess And Employ The Methodology Of Ethnomusicology As A Tool For Examining Popular Music
Write Vivid Accounts Of Live And Mediated Musical Experiences
Prepare, Research, And Produce A Major Ethnographic Project On A Specific Topic In Popular Music Of Their Choice"
Music,Beginning Piano II,"Accurately Count And Play Subdivisions, Triplet Divisions And Syncopation Of The Beat.
Correctly Notate And Perform All Three Forms Of The Minor Scale And Play A, D, And E Minor Scales With Correct Fingering At A Steady Tempo.
Recognize And Play Major, Minor, Augmented And Diminished Triads As Well As Their Inversions.
Play Simple Pieces In All Twelve Major Keys.
Properly Execute Intermediate Damper Pedal Techniques.
Improvise Simple Accompaniments/Chords In Roots And Inversions; Apply Left Hand Styles
Employ Reading/Theoretical Concepts To Keyboard Performance."
Music,Brass Ensembles,"Perform With Correct Technique Over The Range Of Their Instrument.
Read Music Accurately As To Pitch, Rhythm, Tempo And Markings.
Achieve A Balance And Blend In Small Ensemble Playing.
Observe Concert And Rehearsal Etiquette."
Music,Computer Literacy for Musicians,"Create Informative, Accurate And Visually Interesting Posters, Fliers, And Mailings For A Music Program.
Accurately Track Music Budgets Using A Spreadsheet.
Catalog Personal Music, Sound Recordings, And Sheet Music In A Database.
Create And Edit Music Notation.
Create And Edit A Song Using Music Sequence Software.
Review And Evaluate Utility Of Software For Music Instruction."
Music,Applied Voice,"To Build Awareness And Further The Development Of A Healthy Vocal Technique And Musicianship Skills.
To Further The Development Of Vocal Flexibility, Stamina, Strength, Stability And Range.
To Explore And Perform A Variety Of Styles And Repertoire That Apply To Students Specific Area Of Study.
To Better Prepare For Master Classes, Audition Opportunities And Live Performances, Touring And Recording Opportunities For Online And Live Platforms .
To Develop And Construct A Foundation Around Your Vocal Practice, Which Is A Doorway Into Having A Deep And Lasting Relationship With Your Voice, Developing Consistency, An Ability To Connect And Produce Lasting Results, Empowering Your Process.
The Technical Skills Requisite For Artistic Self-Expression In At Least One Major Performance Area At A Level Appropriate For The Particular Music Concentration.
An Overview Understanding Of The Repertory In Their Major Performance Area And The Ability To Perform From A Cross-Section Of That Repertory.
Will Have The Ability To Form And Defend Value Judgments About Music, And To Communicate Musical Ideas, Concepts, And Requirements To Professionals And Laypersons Related To The Practice Of The Major Field.
Will Have An Acquaintance With A Wide Selection Of Musical Literature, The Principal Eras, Genres, And Cultural Sources
The Ability To Read At Sight With Fluency Demonstrating Both General Musicianship And, In The Major Performance Area, A Level Of Skill Relevant To Professional Standards Appropriate For The Particular Music Concentration.
An Increased Repertoire Of Songs In Various Styles And Languages.
A Higher Level Of Technical, Artistic, And Musicianship Skill."
Music,American Music,"Identify The Elements, Styles, And Musicians Representative Of Music Within The Chosen Style(S).
Analyze The Elements And Structures Of Music Using Appropriate Terminology.
Critically Evaluate The Influence Of Social, Political, Technological, And/Or Cultural Ideas On The Chosen Musical Style(S).
Articulate An Informed Personal Reflection Of The Chosen Musical Style(S).
Students Will Develop Habits Of Mind, Allowing Them To Appreciate The Processes By Which Scholars In Various Disciplines
Organize And Evaluate Data And Use The Methodologies Of Each Discipline To Understand The Human Experience.
Students Will Communicate Ideas, Express Feelings And Support Conclusions Effectively In Written, Oral And Visual Formats.
Students Will Consider Different Points Of View And Work Interdependently To Achieve A Shared Purpose Or Goal.
Students Will Demonstrate A Global Perspective Toward Issues Of Culture, Society, Politics, Environment, And Sustainability."
Music,Chamber Music Lab,"Compose Expressive And Convincing Original Music For A Chamber Ensemble.
Apply High-Level Leadership And Collaboration Skills To The Successful Planning, Management And Supervision Of The Rehearsal And Presentation Of A Creative Work Project.
Use Genre And Discipline-Specific Language For Both Expert And General Audiences In Written Documentation Of Project Plans, Programme Notes And Exegetical Materials.
Effectively Collaborate Within A Team.
Comment On Their Own And OtherÕs Work Using High-Level Critical, Conceptual, Analytical And Technical Enquiry Skills."
Music,Applied Voice III,"Demonstrate A Capacity For Expressive, Healthy Singing.
Demonstrate A Vocal Technique In The Areas Of Posture, Breathing, Phonation, Resonance, And Articulation.
Demonstrate Knowledge Of Vocal Literature Appropriate For The Students Voice Type.
Demonstrate The Use Of Analytical Skills As A Tool To Understand Music From Various Historical, Cultural, And Linguistic Settings.
Demonstrate Singing Skills In English And At Least One Other Language Each Semester, According To The Literature Being Studied.
Demonstrate Performance Skills To Include Stage Etiquette, Stage Presentation, And Vocalism.
Demonstrate Personal Standards Of Excellence In The Preparation Of Literature Assigned Each Semester.
Successful Students Will Develop Performing Skills With Multiple Instruments.
Demonstrate Skills In Both Applied And Secondary Applied Instruments.
Successful Students Will Develop Skills That Will Give Them The Ability To Perform At Sight In A Variety Of Musical Styles.
Apply Sight-Reading Skills In A Variety Of Musical Styles.
Successful Students Will Develop Skills And Knowledge In The Area Of Music Theory.
Illustrate A Proficiency In Knowledge And Function Of Music Theory.
Successful Students Will Be Able To Think Critically About Music And Worship Related Topics.
Critically Evaluate Music And Worship-Related Topics."
Music,Classical Ensemble 5,"Apply Advanced Musical Skills To A Range Of Rehearsal And Performance Projects.
Demonstrate A Mature Understanding Of Concert Presentation And Professional Etiquette.
Demonstrate Advanced Skills In Ensemble Playing, Teamwork, Sight-Reading, Intonation, Phrasing, Dynamics, Rhythm And Stylistic Understanding.
Demonstrate An Understanding Of Rehearsal Processes And Strategies.
Make Critical Self-Evaluations Of Their Own Performances And Implement Appropriate Changes For Improvement.
Perform Effectively In An Instrumental And/Or Vocal Ensemble Setting.
Respond Intelligently To Direction."
Music,Commercial Music Performance,"Identify Musical Elements And Performance Practice Techniques In Differing Contemporary Music Genres
Recognise And Locate Music Appropriate For A Simulated Performance Venue
Prepare And Perform An Acoustic/Semi-Acoustic ""Cover"" Set In Collaboration With Others
Review Development Of Own Performance And Peers
Demonstrate Proficiency Using A Compact P.A. System."
Music,Music Appreciation,"Identify Musical Works And Elements In A Variety Of Styles.
Analyze The Elements And Structures Of Music Using Appropriate Terminology.
Critically Evaluate The Influence Of Social, Political, Technological, And/Or Cultural Ideas On Music.
Articulate The Significance Of Music As An Art Form Within Historical, Cultural And Social Contexts.
Demonstrate Critical Thinking By Correlating A Musical Work With The Style Period From Which It Originates.
Use Effective Oral, Written, And Visual Means To Communicate An Informed Personal Reaction To Works Of Western Art Music.
Synthesize Different Points Of View While Working Effectively As Part Of A Team.
Show Social Responsibility Through Intercultural Study And Discovery Of Regional, National And/Or Global Artistic Traditions In Western Art Music.
Recognize Essential Terminology Relevant To The Music And Composers Of A Stylistic Period.
Identify Particular Instruments Playing In An Orchestral Or Chamber Piece."
Music,Jazz Combo,"Demonstrate Stylistically Appropriate Instrumental And Vocal Techniques To Jazz Music Repertoire.
Build A Repertoire Of Diverse Styles Of Jazz Music.
Apply Harmonic, Rhythmic, And Melodic Strategies To Spontaneous Improvisations In Solo And Small Group Arrangements.
Demonstrate Performance And Improvisation Concepts And Strategies Derived From Historically And/Or Stylistically Significant Examples.
Apply Jazz Combo Rehearsal Techniques During Rehearsals.
Build Sight Reading Strategies And Techniques Through Reading Jazz Music.
Perform In Small Groups.
Be Able To Organize, Copy, Paste, Name And Rename Files.
Be Able To Cut And Paste Information From One Document/Program To Another."
Music,Approaches to Musicology,"Demonstrate An Understanding Of A Range Of Different Ways Of Approaching Musicological Study, And Of The Inherent Problems In Constructing A Historical Narrative;
Discuss A Range Of Musics And Cultures And The Critical Issues Relevant To Them.
Define And Apply The Appropriate Skills Required For University-Level Study, Including Research Gathering, Note-Taking, Critical Reading And Writing.
Show A Developing Ability To Engage Critically With Methodological Problems In Musicology;
Demonstrate An Ability To Evaluate Historical Methods As Used In Musicological Discourse;
Analyse And Evaluate Written Arguments In Music Scholarship.
Show That They Can Access Scholarly Writings And Resources In A Range Of Media, Including Electronic Resources.
Draw Together Ideas From A Range Of Sources, With Developing Skills In The Organization, Interpretation And Synthesis Of Information.
Develop And Sustain A Coherent Argument In Both Written And Verbal Forms.
Demonstrate A Growing Ability To Communicate Ideas And Information Clearly In Written And Verbal Form.
Demonstrate Increasing Levels Of Intellectual Curiosity And The Potential To Approach Tasks In A Systematic And Creative Way.
Oral Communication Communication Skills (Oral And Written)
Creative Problem-Solving (Fulfilling A Set Task With The Resources Available)
Research Digital Skills (Information Searches In Databases, Catalogues And Other Online Environments)
Written Communication Communication Skills (Oral And Written)"
