Subject,Number,Description
AIS,503,research writing seminar offers special based current research questions concerns american indian indigenous studies opportunities made considerable progress defining research project advance research writing next stage eg thesis dissertation chapter publication topic varies subsequent
ALEC,393,provides opportunity principles theories related agricultural leadership education communications within field meaningful work experiences upon completion internship experience able incorporate principles theories classroom knowledge reallife work situations benefit supporting organization qualitatively quantitatively enhancing problemsolving abilities
ALEC,490,covers theory practice adult learning applied specifically training development contexts within broad food agricultural natural resources environmental fanre employment sectors theories concepts related education learning training development related yet others covers core adult learning principles applied across professional educational training environments concepts support deep learning personal transformation professional settings structurally progress asynchronous consumption content complete set readings watch set videos explain theories concepts towards graduation already earned
ALEC,491,covers theory practice adult motivation designed optimizing learning specifically training development contexts within broad food agricultural natural resources environmental fanre employment sectors theories concepts fundamental understanding motivation factors affect human motivation effectively motivational principles within rigorous training education sessions also explores roles emotion culture human socialization principles applied motivational contexts towards graduation already
ALEC,492,online teaching training become prevalent throughout professional world work postsecondary education similar different online training compared inperson experiences well synchronous asynchronous learning focus applying androgogical adult learning principles online contexts optimize engagement among consumers online training content also digital divide covers optimize support learners less comfortable experienced technology involved online learning towards graduation already
ALEC,505,investigate theoretical principles education learning evaluate roles emotion motivation impacts acquisition retention knowledge explore psychological physiological variables impact learning additional metacognition fixed growth mindset approaches learning specific teaching learning techniques predict learner success professional
ANSC,100,survey beef dairy cattle companion animals horses poultry sheep swine importance product technology basic principles nutrition genetics physiology behavior breeding selection feeding management lecture lab
ANSC,101,provides understanding fundamental issues impacting care animals role human welfare addressed fundamental principles animal domestication impact humans animal welfare care animalenvironmental interactions food safety diet health issues economic societal issues facing world today bioethical issues
ANSC,103,introductory provide novice fundamentals animalanimal animalhuman interactions domestic farm animals emphasizes handson experiences develop background concepts practice recognizing understanding animals physiology behavior animal well animal responses human interactions animal sciences first time
ANSC,110,lecturediscussion provide overview biotechnology animals focuses biotechnological achievements involving animals influence global development agriculture medicine industry covered scientific discovery historical social political perspectives animal science
ANSC,120,rise social media documentary films animal welfare mainly viewed lens media asks critically evaluate information pieces media better understand narratives biases inherent documentaries nature films undercover animal rights investigations social media accounts also explore media used bring awareness education animal industries
ANSC,199,experimental special topic animal sciences
ANSC,201,surveys dairy industry principles breeding selection reproduction feeding milking management dairy cattle
ANSC,205,examination worlds animals domesticated wild uses various climatic economic cultural contexts exploration contemporary management future prospects provides background international experiences completion campus composition general education requirement
ANSC,207,provides knowledge skills necessary care animal species commonly kept pets biological concepts anatomy genetics evolution nutrition reproduction behavior provide valuable insight companion animal husbandry practices dogs cats small mammals birds fish reptiles amphibians
ANSC,210,focus food preparation safety product quality correct cooking methods endpoint temperatures general grillingrelated objective expand knowledge utilize different cuts meat products produce meals work groups prepare dish specific product assigned present results grills cooking equipment provided additional
ANSC,211,application current scientific tools methods performance programs available livestock breeders improving beef cattle swine sheep emphasis changing nature modern breeds livestock influenced selection economics consumer market trends requires visits weekends farms related companies events observe latest techniques scientific principles associated livestock selection evaluation responsible personal expenses field trips
ANSC,215,objective train industry evaluation techniques animals byproducts additionally different industry production styles selection improvements end product marketability divided sections focus evaluation animals animal byproducts meat dairy develop skills basic evaluation associated travel production facilities occur based animal science instance count applied science towards requirements
ANSC,223,provides introductory background fundamental principles animal nutrition nutrition impacts animal wellbeing performance develop comprehensive knowledge gastrointestinal digestive anatomy physiology nutrient function requirements energy utilization various species specific different classes properties nutrients differences digestive mechanisms monogastric vs ruminant animals carbohydrates lipids proteins minerals vitamins contribute nutrient requirements animals
ANSC,224,study basic principles reproduction lactation growth hormonal regulation animals well humans cell growth differentiation processes reproduction biotechnological methods reproductive control manipulation performance enhancement lactation growth
ANSC,250,explores current historical functions influences companion animals american society evolution animal protection assistance service animals growth pet supply industry controversial issues current concern society also examined
ANSC,255,explores ethical issues raised human animals asked philosophical perspectives historical current animal issues raising animals food production keeping pets management wild animals animals research animal breeding biotechnology animal control
ANSC,298,designed help prepare investigate different career options animal sciences professional development opportunities like research internships study abroad discussed
ANSC,301,provides overview nutrition genetics environment affect beef cattle swine sheep growth development endproduct quality value get handson experience evaluating determining value live animals carcasses
ANSC,306,understand current scientific research principles equine science intensive horse production indepth approach equine reproductive physiology nutrition anatomy exercise physiology followed combined lecture laboratory format emphasis current research handson techniques
ANSC,363,concepts animal behavior emphasis domestic animals lecture discussion
ANSC,398,studentdirected experiential learning special directly pertaining subject matter animal sciences complete memorandum agreement prior enrolling additional total independent study limited total applying
ANSC,402,objective understand core principles sheep goat production covers common breeds reproduction breeding selection nutrition health fiber production management lectures university farms lectures demonstrations sheep goats evaluation principles neonatal lamb kid health body condition scoring lamb goat cooking
ANSC,403,applies science technology selection breeding feeding housing management swine production enterprise emphasizes research findings decision making equivalents
ANSC,404,basic principles genetics physiology nutrition health avian species application science technology solving breeding nutrition disease housing management problems encountered commercial egg poultry meat production
ANSC,407,basic management concepts related maintaining physical behavioral health companion animals shelter setting addressed population dynamics management heavily emphasized utilizes practical resources available local national animal welfare organizations two sessions take place champaign county humane society saturday field trip
ANSC,409,fundamental biological principles influence composition processing preservation quality meat meat products
ANSC,438,structural functional development mammary gland cell biology control milk synthesis composition biochemistry milk compares analyzes physiological processes lactation mammals
ANSC,442,introduces standard approaches commonly used analyze science engineering data strengths limitations approaches gain confidence interpretation results end able analyze wide range datasets appropriate models draw robust conclusions
ANSC,446,conceptual mathematical approach genetics populations estimation allele genotype frequencies hardyweinberg principle measures genetic diversity distance selection nonrandom mating genetic drift mutation neutral theory migration population subdivision linkage recombination coalescence phylogenetic inference applications animals plants human health wildlife conservation desiring additional work area population genetics introductory genetics
ANSC,450,advanced concepts immunophysiology immunogenetics immunophysiology emphasis immuneneuroendocrine interactions molecular cellular basis selfnonself recognition emphasis histocompatibility complex vertebrates innate immunity vertebrates invertebrates mucosal immune system requires complex interplay innate acquired immunity protect mucosal surfaces exposed environment working knowledge genetics cellular molecular biology recommended
ANSC,451,fundamental aspects ecology microorganisms biochemical activities related degradation organic matter emphasis gastrointestinal tract production animals
ANSC,460,fundamentals animalenvironment interactions basis precision management animals pma systems design explore value added technologies challenges opportunities develop pma project uncover hidden details animal production
ANSC,464,advanced interdisciplinary concepts animal physiology behavior stress disease lectures discussions cover multisystem interactions regulating immune microbial endocrine behavioral responses external stressors pathogen infection idiopathic disease neuroendocrine regulation immunophysiology behavior pathogenic behavioral response disease bidirectional communication microbiome central nervous system developmental disruptions gestation cancer biology metabolic diseases
ANSC,498,theoretical basis skills associated leadership inquiry collaborative learning capstone experience integrating knowledge practicing skills applying theory collaborative projects address current issues animal sciences projects relate impact animals animal humans societal issues facing world today animal sciences
ANSC,499,group discussion experimental special topic animal sciences
ANSC,520,physiological aspects protein amino acids fats fatty acids carbohydrates applied higher animals classification digestion absorption utilization metabolism dietary deficiencies excesses professional
ANSC,526,learn effectively advanced concepts related pet nutrition disease metabolism within healthy diseased dogs cats nutrition aid preventing treating disease science behind pet food formulation production develop criticalthinking problemsolving skills writing reviewing grant proposals delivering oral presentation professional
ANSC,590,discussions current research literature expected animal sciences professional masters phd
ANSC,593,directed supervised study selected research animal sciences professional
ANTH,101,anthropology first envisioned holistic discipline combining insights study human anatomy evolution research material remains human settlements analysis social interaction language cultural practices following tradition explores questions humans came societies live communicate human cultural groups
ANTH,103,presents fundamental anthropological analysis series comparative cases emphasize social cultural relations global contexts directs attention anthropological history global empires colonial states cultural exchanges contemporary studies culture society globalization
ANTH,110,scientists often taught skills need confined conducting research lab field observatory yet science also human endeavor scientists taught lesson mistakes made real implications peoples lives scientific progress gets scientist therefore introduce brief history western nonwestern science influences social categories oppressions scientific advancement incentive reward structure science stories scientists chosen walk brave way conduct disseminate research engage mix ethnographic case study work bring interpretive systematic analysis bear means scientist ultimate goal provide substantive rigorous broad culture science culture affects people science practice process
ANTH,180,crosscultural celebration death across time space anthropological archaeological literature death particularly death ritual burial practices study popular films death different cultures
ANTH,209,introduces anthropological approaches study food sociocultural linguistic archaeological perspectives food popular culture food ethnicity race food immigration food religious traditions food family gendered roles food production food national identity competitive global marketing food food status sociopolitics food ancient societies food ethics human rights
ANTH,221,explores archaeology south asia earliest occupations subcontinent present south asia home first urbanized societies world heritage sites st centurys largest megacities critically diverse archaeological resources investigated different communities time informed modern understandings cultural national religious regional gender identities
ANTH,230,anthropological study contemporary human societies emphasis comparative study social organization interpersonal relations cultural ecology processes sociocultural change also consideration method theory ethnographic field research
ANTH,240,past present evolution human species population individual biological variation genetic principles relevant human evolution primate phylogeny behavior fossil evidence human evolution origin significance biological diversity modern humans
ANTH,243,social organization mating patterns group structure freeranging chimpanzees gorillas orangutans presents historical perspective focusing misconceptions colored understanding ape social behavior addresses questions concerned learning potential food sharing social cooperation aggressive behavior selfawareness appropriateness apes models understanding human behavior animal behavior
ANTH,246,history theory underlying methods used forensic science courtroom units crime laboratory methods securing investigating crime scene analysis evidence collected crime scene blood fibers hair fingerprints
ANTH,249,principles modern evolutionary theory applied medical problems transmission pathogen strategies symptoms spectrum disease evolution virulence concept cause antimicrobial resistance emerging diseases stress adaptation nutrition diachronic overview changing patterns human disease ecological factors
ANTH,268,peoples view neighboring distant populations radically different others humans create mutual images based notion shared humanity compares analyzes range images ethnic racial gender bodily differences enacted historically crossculturally western nonwestern populations previous history social sciences suggested
ANTH,270,intersections culture language definition language cultural shaping discourse narrative different linguistic systems guide speakers think differently world ideologies language relate beliefs nation modernity race gender gen ed composition
ANTH,278,examination climate change impacts society increasing need understand climate changes society intersect present becoming important address critical questions lessons past inform present needs case studies around world discussed
ANTH,310,explores archaeologists study food ancient world ways understanding food cuisine inform interpretations numerous aspects past societies looking case studies around world covered food evolution origins agriculture feasting food identity variety methods archaeologists foodways past zooarchaeology paleoethnobotany residue analysis presented
ANTH,346,analysis human skeletal remains medicolegal profession development field forensic anthropology biological profile skeletal trauma analysis interval since death estimation additional investigation crime scenes legal role biological anthropologist expert witness case report preparation attention also drawn incorporation anthropological ethical approaches dealing death human remains research
ANTH,351,mean say someone sounds black admiringly remark spanish sexy language accuse someone pulling race card people apologize saying something racist brings together resources linguistic anthropology theories race language ideologically materially sort another
ANTH,352,relationship language gender complex contentious often misunderstood explore many connections language gender gender socially linguistically constituted real perceived differences grammatical phonological conversational men women speak ways talk gender shape ways think gender things crossculturally crosslinguistically
ANTH,390,supervised reading research anthropological chosen staff especially exclusively preparing fieldwork project justifiable reason independent study qualify honors distinction anthropology
ANTH,411,exploration qualitative forms research used sociocultural anthropologists conducting field research emphasis formulating research questions research design application ethnographic methods substantial research project
ANTH,420,cultural heritage encompasses domains social economic political religious environmental practice policymaking todays conditions globalization critically cultural heritage case studies around world
ANTH,444,supervised participation biological anthropology research projects techniques methods procedures discussed practiced actual field laboratory working conditions normally usually session
ANTH,445,analysis interpretation evaluation organization field laboratory data biological anthropology preparation written reports research subsequently usually session
ANTH,447,human skeletal dental remains form basis research bioarchaeology forensic anthropology bases making inferences individual skeletons past populations particular emphasis placed paleodemography reconstruction diet paleopathology biological distance analysis
ANTH,450,zooarchaeology study many ways animals fit past human societiesincluding diet economy ideologythrough analysis animal remains bones teeth shell recovered archaeological sites broad range ways animals involved past human life ubiquity faunal remains archaeological record faunal analysis method suitable addressing many kinds archaeological anthropological research questions provide practical working knowledge basic laboratory identification quantification techniques provide framework interpretation archaeological faunal assemblages anthropology
ANTH,454,participation archaeological excavations techniques methods procedures discussed practiced actual working conditions normally usually session
ANTH,455,laboratory work processing classifying dating interpretation evaluation preparation written reports archaeological research subsequently additional
ANTH,459,ancient maya mexico guatemala belize honduras evaluates theories account rise fall classic c ad maya rulership excavation data inconography inscriptions used reconstruct political social organization ideology subsistence activities interregional interactions
ANTH,468,bioanthropology research seminar focused interdisciplinary projects create individualized projects related biological anthropology primatology ecology microbehost interactions evolution endocrinology ontogeny closelyrelated additional emphasis placed developing presentation skills scientific paper writing strongly recommended permission
ANTH,477,theories techniques pottery analysis archaeologists addition presentation discussion literature handson practice making drawing breaking analyzing pottery
ANTH,495,second twoterm individual study research project candidates distinction anthropology gpa anthropology
ANTH,496,supervised participation field research ethnography ethnology linguistics social anthropology techniques methods procedures discussed practiced actual working conditions usually session knowledge language area concerned normally
ANTH,497,analysis interpretation evaluation organization field data cultural anthropology preparation written reports research ethnography ethnology linguistics social anthropology subsequently knowledge language area concerned
ANTH,499,research seminar specialized anthropology
ANTH,515,analysis selected special interest anthropology subsequent
ANTH,540,seminar designed involve theoretical methodological approaches problem physical anthropology
ANTH,589,individual guidance intensive readings literature subdivisions field anthropology selected consultation adviser accordance needs interest work anthropology advisor
ANTH,590,supervised individual investigation study topic covered regular topic selected proposed plan study adviser staff member supervises work
ANTH,599,preparation theses
ARAB,150,interdisciplinary overview aspects contemporary culture based scholarly research textual resources media literature world elsewhere peoples historical background language varieties literary traditions representative social institutions
ARAB,202,continuation participation language laboratory
ARAB,404,continuation
ARAB,406,continuation
ARAB,408,continuation increased emphasis reading comprehension literary texts exemplified advanced novels plays poetry well advanced mastery expository writing skills
ARCH,172,architectural graphic communication skills architects visualize analyze record creative thoughts freehand sketching architectural delineation digital applications
ARCH,232,study forces distribution impact building structure equilibrium rigid bodies two three dimensions trusses shear bending moments beams arches frames stresses strains deformations axially loaded members direct shear bearing stresses torsion beam stresses deflections design structural members architectural applications
ARCH,274,develops understanding representation ideas values meaning built environment focuses three topic analysis technical communication modeling exposure multiple software tools mastery basic skills
ARCH,372,focuses personenvironment relationships improve wellbeing outcomes design explore nested environmental scales human built context natural environment systems cultural perspectives multisensory perception widely accessible enabling inclusive environments introduces design projects discrete places within influenced broader physical social cultural economic systems requires field trips bsas
ARCH,401,independent guided study investigation selected area architecture architecture written proposal sponsoring member director school
ARCH,409,explores aspects architecture urban design spain antiquity present
ARCH,415,architecture urbanism long nineteenth century c focusing europe north america significant attention paid architectural responses rapid technological social changes industrialization rise consumer culture nationalism colonialism migration urbanization changes gender norms also consider ancient medieval architectural revivalism anchors political social cultural meaning modern world
ARCH,416,surveys architecture urbanism territory presentday united states c ce forward native american urban centers diverse national origins colonial architecture ongoing significance vernacular forms search architecture democracy architecture slavery industrialization built environment great migration urbanization architecture rise formal architectural profession modernist architectures us architecture real estate forces capital investment technologies built environment
ARCH,435,presents unified approach architectural structures construction technology enable integrate design engineering construction providing understanding materialcomponentsystem decisions impact work architects engineers constructors series casestudies projectbased assignments learn various structural systems construction methods used design buildings evolution stateoftheart structure construction strategies discussed provide requisite breadth depth covered structural building codes structural systems layout planning foundation systems construction methods technologies wood steel concrete masonry sustainability considerations detailing digital modeling
ARCH,468,designed enrich professional development study abroad location participate thematic workshops seminars lectures field trips focused understanding analyzing architectural urbanistic landmarks settings site directed independent assignments school architecture
ARCH,472,intermediate architectural design methods fundamentals principles concepts focusing buildings landscape urban contexts
ARCH,474,building design emphasizes creative process making experimentation theories contemporary methods materials projects focus translating design ideas multiple scales reality computation representation production utilizing fabrication processes outcomes foreground entrepreneurial design thinking teambased learning
ARCH,482,explores theoretical practical foundations architecture built environment provides architectural graphic communication skills architects visualize analyze record creative thoughts freehand sketching architectural delineation digital applications
ARCH,484,develops understanding architects represent ideas values meaning built environment focuses three topic analysis representation existing contexts climate built environment natural features graphic communication techniques tools analog digital modeling techniques tools introduced multiple relevant software tools acquire basic skills
ARCH,490,selected applications contemporary architecture office current
ARCH,491,fulltime parttime professionally supervised field experience design introduce practice architecture commercial firm agency government work schoolapproved firm agency choice written work reports reflective experiential learning reports timesprerequisite upperlevel bsas march programs study
ARCH,499,provides opportunity offcampus study detailed proposal study campus submitted appropriate committee school prior study final determination application toward made review offcampus work committee director school architecture prior
ARCH,501,role architect building enterprise professional ethics conduct professional practice legal aspects architectural practice building construction business management marketing operational procedures financial planning cost control architectural practices administration construction contracts
ARCH,517,survey significant buildings movements figures modern contemporary architecture contextualized social cultural political economic technological developments time outlines development modernist postmodernist contemporary architectural thought key themes industrialization modernization development global modernisms postmodernism twentiethcentury regionalism globalization sustainability movement development digital technologies architecture professional
ARCH,522,seminal current research intersection environmental conditions human health globally introduces techniques locating interpreting research synthesizing findings explore range epistemologies research ontologies compare results utility healthfocused architectural environmental design policy interventions research professional design planning community healthfocused problems decision making engage secondarysource research project dissemination professional
ARCH,537,investigates control thermal luminous environments emphasis active means controls building envelope design specific heating cooling load energy calculations primary boilers chillers etc secondary comfort delivery mechanical systems indoor air quality energy lighting daylighting codes metrics electric lighting properties selection design calculations advanced daylighting strategies calculations visual comfort assessment curtain wall masonry systems rain screen principles professional
ARCH,538,advanced emphasizes understanding organizational functional principles buildings subsystems means accomplishing desired project goals develop creative ability designing buildings great functional synergy organizational coherence thus creating maximal value specifically aims understanding functional organizational principles requisite building systems understanding intersystem relationships organizational variations implications overall design construction developing comprehensive integrative design ability value creation professional
ARCH,554,advanced design steel structures critical study aisc specification design steel members connections composite structures analysis design continuous structures tall buildings
ARCH,560,advanced theory analysis statically indeterminate structures recognizing effects due temperature settlement fabrication errors matrix methods focusing computer analysis techniques plastic analysis design
ARCH,571,design studio investigations multiple techniques methodologies addressing design fabrication smallscale architectural constructions explorations specific sites places interdisciplinary projects field trips shop safety orientation professional
ARCH,572,design studio explorations responding social economic political behavioral dimensions human existence settlement encourage healthier designed environments projects investigate experience physical environments human scale socially sustaining design strategies addressing diverse human needs field trips professional
ARCH,573,design studio investigations buildings systems focusing structure enclosure technology performance integration building materials components systems impact design construction sustainability buildings field trips professional
ARCH,574,design studio investigations issues impact urban habitats buildings people architecture urban design preservation adaptation existing buildings cities districts public realms urban environments designing preserving buildings communities sustainable manner field trips professional
ARCH,575,schematic design development public building focusing integration environmental structural building envelope systems also addressing issues accessibility life safety environmental stewardship site conditions field trips professional
ARCH,576,presentations discussions relative various architectural environmental design concerns
ARCH,588,independent guided study investigation selected area architecture professional architecture written proposal sponsoring member director studies
ARCH,590,nature scope projects determined consultation advisor open architecture landscape architecture well disciplines wish engage interdisciplinary work professional march phd repeat
ARCH,591,historical theoretical problems history architecture built environment related designed objects relation emerging interdisciplinary research thematic investigations historical conceptual aesthetic theoretical problems work particular architects patrons specific buildings environments single multiple geographic regions periods professional
ARCH,592,addresses emerging issues research focused cities regions urbanism particular focus issues pertinent architecture urban theories morphological studies social political economic influences cities sustainable urbanism comparative analysis cities urbanism global contexts professional syllabi
ARCH,593,investigation study design fabrication architectural components assemblies professional
ARCH,594,indepth investigation emerging issues specific research interest beyond covered regular offering area building performance individuals groups expected propose research plan methods specific topic research interest consultation execute guidance consultation regular basis professional
ARCH,595,individual group investigation study architectural engineering application research economy design correlation architectural mechanical structural requirements
ARCH,596,indepth investigation emerging issues specific research interest individuals groups beyond covered regularly area health wellbeing theories knowledge specific buildings projects diverse global contexts comparative studies theoretical conceptual healthfocused problems professional
ARCH,597,individual investigation building types systems aesthetic theories programming problems architectural design professional
ARCH,599,doctoral architecture coursework working dissertations completing dissertation proposals prior preliminary examinations consists focused writing dissertation proposal directed dissertation advisor arranged sessions provide time devoted meeting writing goals discussion writing process advisor feedback writing guidance make progress writing reserved phd writing dissertation work leading preliminary examinations extraordinary cases ms submitting written thesis professional coordinator phd
ART,102,work wide variety drawing materials methods strategies studio context explore drawing concepts form technique production critique artworks well address theories histories visual representation readings discussion little background visual encouraged participate well significant knowledge experience open majoring design additional
ART,103,work wide variety painting materials methods strategies studio context explore painting concepts form technique production critique artworks well address theories histories visual representation readings discussion little background visual encouraged participate along significant knowledge experience additional
ART,140,creative expressive exploration multiple media limited drawing painting design elements making process weekly interactive lectures hands studio sections additional open design architecture
ART,150,introductory drawing emphasis heightening visual awareness utilizing basic elements technique concept media pencil charcoal used variety technical conceptual exercises designed little prior experience drawing living learning communities minors design
ART,156,introduces techniques making functional ceramic work pottery wheel centering opening throwing cylinder making bowl plate forms making handles time focus demonstrations techniques led skills development also learn materials chemistry production application glazes work contemporary ceramic artists towards developing vocabulary assessment critique works well peers weekly studio contact time
ART,160,explores photography video powerful media todays imagesaturated world look think discuss write diverse array photography video study examples historical contemporary design journalism advertising various numerous contexts make images create videos conduct visual research produce mediabased projects also build individual social media sites sharing work classmates world additional earned nonmajors design minors
ART,191,consult unit office
ART,199,additional
ARTD,101,problemfinding problemsolving processes design products teaches foundational industrial design skills methods philosophies design thinking creation dimensional products begins simplified design process adding steps final project incorporates components design process satisfies requirement design foundations curriculum additional design
ARTD,151,introductory considering graphic design teaches design critical thinking problem solving process applied projects principles visual perception visual communication theory precedents design history technical skills common practice graphic design relate image making surface design typography layout design systems applications satisfies requirement design foundation curriculum additional design
ARTD,202,studio design problems increasing complexity involving structures mechanisms lectures discussions explore design issues affecting contemporary culture aesthetics perceptions additional
ARTD,217,exchange introduces field graphic design theory practice graphic designers make methods employed contemporary design practice emphasis placed organization visual presentation relevant content across media effect within systems additional permission
ARTD,218,immerse series assignments designed help develop fundamental understanding frontend web technologies html css javascript prepare plan develop interactive experiences completion firstyear curriculum design
ARTD,228,concepts methods applications computeraided industrial design design products mass manufacture rendering lighting techniques communicate product forms additional
ARTD,302,industrial design problems increasing complexity scope size continuation additional
ARTD,317,user interfaceuser experience uiux studio introduces nondesigner construction compelling user experiences incorporate digital productscode investigate theoretical practical aspects uiux projects involving information architecture user scenarios wireframing interface design creative code web mobile products additional
ARTD,326,exploration environmental origins theory practice sustainable product design environmentallyresponsive design methodologies industrial ecology dematerialization design disassembly design recycling lifecycle assessment additional design
ARTD,328,principles humancentered design usability applied products product systems product environments enhance user experience strategies enhance independent learning professional development research acquire skills additional design
ARTD,333,studio extends typographic study representational strategies image reproduction technology engage practices incorporating existing created imagery typographic systems additional
ARTD,391,directed independent creative activity research additional design advisor associate director school contract advisor gpa total ind study
ARTD,399,internships preapproved variable document work internship verification supervisor supervisor also fill questionnaire either mail online members assess work questionnaires assign grade school design
ARTD,402,capstone project integrating aspects design process concept final design documentation presentation reconciliation user centered constraints socioeconomic environmentalsustainability manufacturability health safety ethical standard approach entry industrial design professional additional
ARTD,418,advanced studio immerses design investigations foster understanding emergent digital interaction paradigms potential exploration design development mobile devices interactive environments additional
ARTD,420,focuses useroriented collaborative approaches designing products services special emphasis designing people disabilities gain understanding product development process exploring empathic design research approaches working directly prospective clients work centers designing products mass production recognizing opportunities reengineer existing products
ARTD,426,presents overview product development process concept generation design manufacturing project management emphasis product definition innovation early phases development role designer product development
ARTD,444,engage complex typographic systems across varied media studio setting additional
ARTD,448,concentrates developing presentation communication skills form basis successful design career engage portfolio reviews plan install exhibitions prepare client presentations rehearse job interviews written work cv preparation emphasis placed familiarizing professional practices contexts
ARTD,471,advanced studio articulate individual interests conduct corresponding investigations develop specialized expertise coursework represents final preparation practice graphic design additional
ARTD,499,subject matter published listings additional
ARTD,503,emphasizes aspects research design process holistic design project rehearsal thesis investigations establishing personal direction work third sequence leading mfa industrial design mdes industrial design additional professional
ARTD,551,seminar helps dri connect research pedagogy professional development strategies disseminate research publishing conferences communities relevant venues take time toward mfa dri time toward phd dri professional
ARTD,591,directed individual creative activity research additional professional design
ARTD,595,studio provides mfa design tools define develop body work context dri programs mission pursuing individual collaborative enhances ability develop rigorous theoretical framework select appropriate methods processes design research pedagogy additional professional mfa concentration design responsible innovation
ARTD,599,guidance writing depositing thesis mfa concentrations industrial design design responsible innovation phd design responsible innovation mdes industrial design enroll member supervising thesis additional professional study design responsible innovation mfa phd industrial design mfa mdes
ARTE,101,provides introductory forum beginning artists designers historians educators think motivations behind theirour creative works research practices topical examinations contemporary craft design history scholarship education scholarship interdisciplinary projects developing artists sift pertinent issues around sustainability ethics ecologies pedagogies civic engagement order inform burgeoning motivations creative practices additional artdesign
ARTE,260,considers scholarly discourse museum interpretation educational development translated practices engage culturally diverse audiences readings research professional activities provide opportunities examination museum interpretive practices programming decisions public engagement activities along analysis krannert museums presence university campus larger community world wide web additional
ARTE,301,focus problembased learning design lesson plans curriculum around complex human issue handson experiences teaching actual classrooms lessons taught local schools additional education
ARTE,391,directed independent research creative activity additional design advisor associate director school
ARTE,393,dedicated providing overview informed understanding research process definitions examples research common issues irb copyright plagiarism exploring two qualitative methodologies used teaching specifically case study participatory action research complete early field experience efe observingteaching elementary secondary teachers local champaignurbana school districts substantial research project complete additional education accepted teacher certification
ARTE,401,responsibilities methods techniques specific teaching elementary secondary schools psychology exceptional child conjunction methods instruction teaching experience education sections
ARTE,480,focuses primarily contemporary popular culture also draws upon fine folk indigenous past present considers often troubled relationships pleasures visual culture ideologies literature visual culture studies develop research skills examining specific site visual culture choosing aesthetic pleasures ideology limited sexism ethnicity religion homophobia xenophobia theories body consumerism globalization among others considered additional
ARTE,501,range topical issues explored childrens artistic development visual culture curriculum philosophy cultural studies additional professional
ARTE,505,designed masters readings discussions introduce theories upon classroom practices based follow historical sequence three movements within education past selfexpression education disciplinebased education recent shift toward visual culture education primary emphasis understanding recent contemporary orientations designed provide basis indepth study curriculum instruction child development multiculturalism visual culture germane education compare contrast literature theories assumed children pedagogy society addition introduced academic standards writing
ARTE,591,individual direction research creative activity thesis additional
